Generated 1 QTSP experiment case(s).
QTSP uses one windowed flow; each wrapped Q-datagram carries (flow, seq, pair) metadata with the traveling Werner-pair qubit.
Send rate defaults to chi * 3 * (1 - w) / 2 * transmissivity.
Detection probability defaults to detector_a_p * fidelity_from_werner(w).
case |   flow |     simT |   sent |   recv |  acked |  failed | timeout |  late | unacked | window |      T_W | winSamp | meanSent |  meanAck | meanTout |  send_rate |      eta |    P_det |  exp_det |   qdelay |   cdelay |        w |   meanTx |  meanRTT |       tp |    meanF
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |   4001 | 1000.000 |   1460 |   1460 |   1064 |     396 |     391 |     0 |       5 |      5 | 10.00000 |     100 | 14.60000 | 10.64000 | 3.910000 |   6.330430 | 0.562705 | 0.731250 | 4.629127 | 1.000000 | 0.000000 | 0.750000 | 1.000000 | 1.000000 | 1.064000 | 0.812500

Case 1 source time-window samples:
 idx |    start |      end |  sent | acked |  tout |  late |       tp |  meanRTT
--------------------------------------------------------------------------------
   1 | 0.000000 | 10.00000 |    13 |     8 |     0 |     0 | 0.800000 | 1.000000
   2 | 10.00000 | 20.00000 |    12 |     7 |     5 |     0 | 0.700000 | 1.000000
   3 | 20.00000 | 30.00000 |    14 |     9 |     5 |     0 | 0.900000 | 1.000000
   4 | 30.00000 | 40.00000 |    12 |     7 |     5 |     0 | 0.700000 | 1.000000
   5 | 40.00000 | 50.00000 |    16 |    13 |     3 |     0 | 1.300000 | 1.000000
   6 | 50.00000 | 60.00000 |     9 |     5 |     4 |     0 | 0.500000 | 1.000000
   7 | 60.00000 | 70.00000 |     8 |     3 |     5 |     0 | 0.300000 | 1.000000
   8 | 70.00000 | 80.00000 |    22 |    18 |     4 |     0 | 1.800000 | 1.000000
   9 | 80.00000 | 90.00000 |     9 |     4 |     5 |     0 | 0.400000 | 1.000000
  10 | 90.00000 | 100.0000 |    15 |    12 |     3 |     0 | 1.200000 | 1.000000
  11 | 100.0000 | 110.0000 |    22 |    18 |     4 |     0 | 1.800000 | 1.000000
  12 | 110.0000 | 120.0000 |    16 |    12 |     4 |     0 | 1.200000 | 1.000000
  13 | 120.0000 | 130.0000 |    18 |    16 |     2 |     0 | 1.600000 | 1.000000
  14 | 130.0000 | 140.0000 |    22 |    18 |     4 |     0 | 1.800000 | 1.000000
  15 | 140.0000 | 150.0000 |    24 |    20 |     4 |     0 | 2.000000 | 1.000000
  16 | 150.0000 | 160.0000 |    22 |    20 |     2 |     0 | 2.000000 | 1.000000
  17 | 160.0000 | 170.0000 |     9 |     5 |     4 |     0 | 0.500000 | 1.000000
  18 | 170.0000 | 180.0000 |    10 |     5 |     5 |     0 | 0.500000 | 1.000000
  19 | 180.0000 | 190.0000 |     7 |     3 |     4 |     0 | 0.300000 | 1.000000
  20 | 190.0000 | 200.0000 |    23 |    19 |     4 |     0 | 1.900000 | 1.000000
  21 | 200.0000 | 210.0000 |    13 |    10 |     3 |     0 | 1.000000 | 1.000000
  22 | 210.0000 | 220.0000 |    19 |    16 |     3 |     0 | 1.600000 | 1.000000
  23 | 220.0000 | 230.0000 |    21 |    16 |     5 |     0 | 1.600000 | 1.000000
  24 | 230.0000 | 240.0000 |    14 |     9 |     5 |     0 | 0.900000 | 1.000000
  25 | 240.0000 | 250.0000 |    10 |     8 |     2 |     0 | 0.800000 | 1.000000
  26 | 250.0000 | 260.0000 |     9 |     4 |     5 |     0 | 0.400000 | 1.000000
  27 | 260.0000 | 270.0000 |    12 |     9 |     3 |     0 | 0.900000 | 1.000000
  28 | 270.0000 | 280.0000 |    19 |    14 |     5 |     0 | 1.400000 | 1.000000
  29 | 280.0000 | 290.0000 |    13 |     9 |     4 |     0 | 0.900000 | 1.000000
  30 | 290.0000 | 300.0000 |    12 |     9 |     3 |     0 | 0.900000 | 1.000000
  31 | 300.0000 | 310.0000 |    26 |    21 |     5 |     0 | 2.100000 | 1.000000
  32 | 310.0000 | 320.0000 |    12 |     8 |     4 |     0 | 0.800000 | 1.000000
  33 | 320.0000 | 330.0000 |    13 |    10 |     3 |     0 | 1.000000 | 1.000000
  34 | 330.0000 | 340.0000 |    13 |    10 |     3 |     0 | 1.000000 | 1.000000
  35 | 340.0000 | 350.0000 |    13 |     8 |     5 |     0 | 0.800000 | 1.000000
  36 | 350.0000 | 360.0000 |    14 |     9 |     5 |     0 | 0.900000 | 1.000000
  37 | 360.0000 | 370.0000 |    15 |    11 |     4 |     0 | 1.100000 | 1.000000
  38 | 370.0000 | 380.0000 |    15 |    11 |     4 |     0 | 1.100000 | 1.000000
  39 | 380.0000 | 390.0000 |     7 |     4 |     3 |     0 | 0.400000 | 1.000000
  40 | 390.0000 | 400.0000 |    13 |     8 |     5 |     0 | 0.800000 | 1.000000
  41 | 400.0000 | 410.0000 |    12 |     9 |     3 |     0 | 0.900000 | 1.000000
  42 | 410.0000 | 420.0000 |    16 |    12 |     4 |     0 | 1.200000 | 1.000000
  43 | 420.0000 | 430.0000 |    13 |     8 |     5 |     0 | 0.800000 | 1.000000
  44 | 430.0000 | 440.0000 |    10 |     6 |     4 |     0 | 0.600000 | 1.000000
  45 | 440.0000 | 450.0000 |    24 |    20 |     4 |     0 | 2.000000 | 1.000000
  46 | 450.0000 | 460.0000 |    25 |    21 |     4 |     0 | 2.100000 | 1.000000
  47 | 460.0000 | 470.0000 |     9 |     7 |     2 |     0 | 0.700000 | 1.000000
  48 | 470.0000 | 480.0000 |    17 |    13 |     4 |     0 | 1.300000 | 1.000000
