src	dst	src_label	dst_label	distance_km	classical_delay
1	2	Westerbork	Dwingeloo	16.14089374694658	8.07044687347329e-5
2	4	Dwingeloo	Assen	22.22741209049832	0.0001111370604524916
2	9	Dwingeloo	Amsterdam	112.26283526887705	0.0005613141763443853
3	4	Groningen	Assen	24.74243695779124	0.00012371218478895622
3	7	Groningen	Leeuwarden	50.52083490509071	0.0002526041745254535
3	42	Groningen	Winschoten	32.285022226255414	0.00016142511113127707
4	50	Assen	Hoogeveen	31.029598556392106	0.00015514799278196052
5	8	Alkmaar	Den Helder	36.50240330787594	0.0001825120165393797
5	9	Alkmaar	Amsterdam	30.197849569183365	0.00015098924784591683
5	10	Alkmaar	Haarlem	28.898867804343237	0.0001444943390217162
6	9	Lelystad	Amsterdam	42.39065421336432	0.0002119532710668216
6	48	Lelystad	Zwolle	41.92312792148379	0.00020961563960741894
7	8	Leeuwarden	Den Helder	75.05202523791898	0.0003752601261895949
9	31	Amsterdam	Utrecht	35.247928979979584	0.0001762396448998979
9	32	Amsterdam	Breukelen	23.486983164996957	0.00011743491582498478
9	33	Amsterdam	Leiden	36.10776584547013	0.00018053882922735063
9	36	Amsterdam	Schiphol-Rijk	12.563320016531438	6.281660008265719e-5
9	37	Amsterdam	Hilversum	25.707671144320365	0.00012853835572160181
9	39	Amsterdam	Delft	54.71984544236286	0.0002735992272118143
9	48	Amsterdam	Zwolle	83.09407616262524	0.00041547038081312624
10	33	Haarlem	Leiden	26.60582362861615	0.00013302911814308074
11	12	Oss	Den Bosch	16.448583890315245	8.224291945157623e-5
12	20	Den Bosch	Eindhoven	31.131347077309695	0.00015565673538654848
12	24	Den Bosch	Nieuwegen	39.77721748937176	0.0001988860874468588
13	31	Houten	Utrecht	7.623632159940757	3.811816079970379e-5
14	15	Wageningen	Nijmegen	19.078915511152108	9.539457755576054e-5
14	31	Wageningen	Utrecht	39.595920416430396	0.00019797960208215197
15	16	Nijmegen	Venlo	56.872254978481294	0.0002843612748924065
15	43	Nijmegen	Arnhem	15.804159680693475	7.902079840346738e-5
15	46	Nijmegen	Enschede	82.69261436895968	0.00041346307184479843
16	17	Venlo	Heerlen	55.62401316328686	0.0002781200658164343
17	18	Heerlen	Maastricht	20.91005732721629	0.00010455028663608145
18	19	Maastricht	Maasbracht	35.178931941169665	0.00017589465970584833
19	20	Maasbracht	Eindhoven	43.9445819235596	0.00021972290961779802
20	25	Eindhoven	Tilburg	29.63698223702495	0.00014818491118512474
20	31	Eindhoven	Utrecht	76.3058078382202	0.000381529039191101
21	22	Yerseke	Vlissingen	33.46446192911537	0.00016732230964557686
21	27	Yerseke	Bergen op Zoom	16.733106474902613	8.366553237451306e-5
22	29	Vlissingen	Middelburg	6.975913776746095	3.4879568883730477e-5
23	31	Gouda	Utrecht	29.477110725324643	0.0001473855536266232
23	38	Gouda	Rotterdam	18.870395250566443	9.435197625283221e-5
24	31	Nieuwegen	Utrecht	7.424320909721065	3.712160454860533e-5
25	28	Tilburg	Breda	22.065712396779443	0.00011032856198389721
26	28	Dordrecht	Breda	25.827312008502442	0.00012913656004251222
26	38	Dordrecht	Rotterdam	18.295601986993706	9.147800993496853e-5
27	28	Bergen op Zoom	Breda	35.005907328534626	0.00017502953664267314
27	30	Bergen op Zoom	Zierikzee	30.964829882134058	0.0001548241494106703
29	30	Middelburg	Zierikzee	26.9083414589789	0.00013454170729489449
31	32	Utrecht	Breukelen	12.405455089383537	6.202727544691768e-5
31	37	Utrecht	Hilversum	15.18968873472339	7.594844367361695e-5
31	39	Utrecht	Delft	53.25555853857046	0.0002662777926928523
33	34	Leiden	Oegstgeest	2.8984559982781843	1.4492279991390922e-5
33	39	Leiden	Delft	19.304582849565662	9.652291424782832e-5
33	40	Leiden	Den Haag	16.08483886770329	8.042419433851644e-5
34	35	Oegstgeest	Lisse	10.707971867077717	5.3539859335388584e-5
35	36	Lisse	Schiphol-Rijk	13.866447140071573	6.933223570035786e-5
38	39	Rotterdam	Delft	12.622092658026714	6.311046329013358e-5
39	40	Delft	Den Haag	8.703835024722887	4.351917512361443e-5
41	42	Emmen	Winschoten	41.478684601420944	0.0002073934230071047
41	50	Emmen	Hoogeveen	29.65505735649494	0.0001482752867824747
43	45	Arnhem	Zutphen	26.52939237418131	0.00013264696187090654
43	47	Arnhem	Deventer	35.11319466590861	0.00017556597332954305
44	45	Apeldoorn	Zutphen	17.711295690536524	8.855647845268262e-5
44	47	Apeldoorn	Deventer	14.156313239560387	7.078156619780193e-5
46	48	Enschede	Zwolle	63.48745802020304	0.0003174372901010152
47	48	Deventer	Zwolle	29.018075253463035	0.00014509037626731517
48	49	Zwolle	Meppel	21.474795424020016	0.00010737397712010007
49	50	Meppel	Hoogeveen	19.22469673913085	9.612348369565425e-5
