Generated 11 QTCP Werner experiment case(s).
All requests in a case use the same Werner parameter w.
case |   sent | completed |    acked |  failed | timeout |  late | unacked |   req_rate |    P_det | exp_det_tp |     exp_tp |       tp |  meanRTT |    meanF
-------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |   1167 |      1166 |      858 |     308 |     290 |     0 |      19 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.290000 | 0.131663 | 0.812500
   2 |   1147 |      1146 |      829 |     317 |     305 |     0 |      13 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.145000 | 0.146070 | 0.812500
   3 |   1156 |      1156 |      853 |     303 |     291 |     0 |      12 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.265000 | 0.141010 | 0.812500
   4 |   1184 |      1183 |      881 |     302 |     284 |     0 |      19 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.405000 | 0.131453 | 0.812500
   5 |   1221 |      1220 |      930 |     290 |     275 |     0 |      16 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.650000 | 0.124934 | 0.812500
   6 |   1202 |      1202 |      899 |     303 |     285 |     0 |      18 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.495000 | 0.124604 | 0.812500
   7 |   1170 |      1169 |      863 |     306 |     289 |     0 |      18 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.315000 | 0.129858 | 0.812500
   8 |   1170 |      1170 |      859 |     311 |     299 |     0 |      12 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.295000 | 0.131238 | 0.812500
   9 |   1208 |      1207 |      907 |     300 |     284 |     0 |      17 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.535000 | 0.129344 | 0.812500
  10 |   1141 |      1140 |      824 |     316 |     302 |     0 |      15 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.120000 | 0.144347 | 0.812500
  11 |   1159 |      1158 |      837 |     321 |     308 |     0 |      14 |   6.330430 | 0.731250 |   4.629127 |   0.462913 | 4.185000 | 0.133104 | 0.812500
