QTCP Werner window-size and Werner-parameter update.
Default simulation parameters are defined in WINDOW_UPDATE_DEFAULT_CASE in this script.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 3 / ( n + 50) ^ 0.7
  delta(n) = 0.05 / (n + 50) ^ 0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 0.191347 | 0.027723 |  20.000000 |     20 | 0.750000 | 2.400000 | 4.155000 | 4.255000 | 4.350000 |  -1.713401 |      831 |   1141 |     290 |  19.664186 | 0.422145
   2 | 0.188764 | 0.027642 |  19.664186 |     20 | 0.422145 | 2.400000 | 1.790000 | 2.420000 | 2.195000 |   4.069893 |      358 |    749 |     371 |  19.779332 | 0.999999
   3 | 0.186264 | 0.027563 |  19.779332 |     20 | 0.999999 | 2.400000 | 0.000000 | 0.005000 | 0.620000 | -22.312411 |        0 |      1 |       1 |  20.226364 | 0.000001
   4 | 0.183842 | 0.027486 |  20.226364 |     21 | 0.000001 | 2.400000 | 0.520000 | 0.815000 | 0.665000 |   5.457331 |      104 |    521 |     396 |  20.571988 | 0.999999
   5 | 0.181496 | 0.027410 |  20.571988 |     21 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.625000 | -22.801552 |        0 |      1 |       1 |  21.007579 | 0.000001
   6 | 0.179221 | 0.027336 |  21.007579 |     22 | 0.000001 | 2.400000 | 0.675000 | 0.665000 | 0.555000 |   4.023934 |      135 |    573 |     416 |  21.316736 | 0.721176
   7 | 0.177015 | 0.027264 |  21.316736 |     22 | 0.721176 | 2.400000 | 4.140000 | 4.565000 | 4.745000 |  -3.301062 |      828 |   1197 |     352 |  21.008730 | 0.136840
   8 | 0.174873 | 0.027193 |  21.008730 |     22 | 0.136840 | 2.400000 | 1.035000 | 1.185000 | 0.865000 |   5.883885 |      207 |    644 |     415 |  21.247431 | 0.999999
   9 | 0.172792 | 0.027123 |  21.247431 |     22 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.635000 | -23.411623 |        0 |      1 |       1 |  21.662133 | 0.000001
  10 | 0.170771 | 0.027055 |  21.662133 |     22 | 0.000001 | 2.400000 | 0.525000 | 0.565000 | 0.560000 |   0.184809 |      105 |    543 |     416 |  21.982330 | 0.031561
  11 | 0.168807 | 0.026988 |  21.982330 |     22 | 0.031561 | 2.400000 | 0.750000 | 0.785000 | 0.530000 |   4.724324 |      150 |    585 |     413 |  22.260861 | 0.829060
  12 | 0.166896 | 0.026922 |  22.260861 |     23 | 0.829060 | 2.400000 | 3.460000 | 2.935000 | 3.815000 | -16.343363 |      692 |    866 |     166 |  22.083951 | 0.000001
  13 | 0.165038 | 0.026858 |  22.083951 |     23 | 0.000001 | 2.400000 | 0.645000 | 0.835000 | 0.690000 |   5.398823 |      129 |    584 |     432 |  22.373592 | 0.891010
  14 | 0.163228 | 0.026794 |  22.373592 |     23 | 0.891010 | 2.400000 | 2.340000 | 1.795000 | 2.825000 | -19.220480 |      468 |    552 |      77 |  22.383386 | 0.000001
  15 | 0.161466 | 0.026732 |  22.383386 |     23 | 0.000001 | 2.400000 | 0.680000 | 0.750000 | 0.610000 |   5.237150 |      136 |    591 |     432 |  22.661108 | 0.845624
  16 | 0.159750 | 0.026671 |  22.661108 |     23 | 0.845624 | 2.400000 | 3.105000 | 2.560000 | 3.550000 | -18.559522 |      621 |    782 |     149 |  22.548484 | 0.000001
  17 | 0.158077 | 0.026611 |  22.548484 |     23 | 0.000001 | 2.400000 | 0.680000 | 0.680000 | 0.655000 |   0.939466 |      136 |    592 |     433 |  22.820377 | 0.148509
  18 | 0.156446 | 0.026552 |  22.820377 |     23 | 0.148509 | 2.400000 | 1.100000 | 1.115000 | 1.055000 |   1.129868 |      220 |    673 |     430 |  23.023757 | 0.325273
  19 | 0.154856 | 0.026494 |  23.023757 |     24 | 0.325273 | 2.400000 | 1.820000 | 2.050000 | 1.865000 |   3.491396 |      364 |    834 |     446 |  23.113573 | 0.865935
  20 | 0.153304 | 0.026437 |  23.113573 |     24 | 0.865935 | 2.400000 | 2.715000 | 2.260000 | 3.275000 | -19.196884 |      543 |    679 |     125 |  23.065282 | 0.000001
  21 | 0.151789 | 0.026380 |  23.065282 |     24 | 0.000001 | 2.400000 | 0.680000 | 0.780000 | 0.755000 |   0.947674 |      136 |    612 |     452 |  23.326360 | 0.143847
  22 | 0.150310 | 0.026325 |  23.326360 |     24 | 0.143847 | 2.400000 | 1.070000 | 1.155000 | 0.975000 |   3.418790 |      214 |    691 |     453 |  23.526272 | 0.657726
  23 | 0.148866 | 0.026271 |  23.526272 |     24 | 0.657726 | 2.400000 | 4.180000 | 4.610000 | 4.150000 |   8.755002 |      836 |   1270 |     413 |  23.261291 | 0.999999
  24 | 0.147455 | 0.026217 |  23.261291 |     24 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.585000 | -22.313650 |        0 |      1 |       1 |  23.615182 | 0.000001
  25 | 0.146076 | 0.026164 |  23.615182 |     24 | 0.000001 | 2.400000 | 0.655000 | 0.745000 | 0.680000 |   2.484291 |      131 |    608 |     453 |  23.870085 | 0.362896
  26 | 0.144728 | 0.026112 |  23.870085 |     24 | 0.362896 | 2.400000 | 1.850000 | 2.150000 | 1.945000 |   3.925328 |      370 |    839 |     445 |  23.949685 | 0.931000
  27 | 0.143409 | 0.026061 |  23.949685 |     24 | 0.931000 | 2.400000 | 1.460000 | 0.970000 | 2.080000 | -21.295929 |      292 |    350 |      55 |  24.084490 | 0.000001
  28 | 0.142120 | 0.026011 |  24.084490 |     25 | 0.000001 | 2.400000 | 0.820000 | 0.855000 | 0.680000 |   6.727942 |      164 |    660 |     471 |  24.309039 | 0.956176
  29 | 0.140858 | 0.025961 |  24.309039 |     25 | 0.956176 | 2.400000 | 0.980000 | 0.410000 | 1.525000 | -21.474296 |      196 |    222 |      23 |  24.509058 | 0.000001
  30 | 0.139623 | 0.025912 |  24.509058 |     25 | 0.000001 | 2.400000 | 0.685000 | 0.735000 | 0.785000 |  -1.929583 |      137 |    635 |     473 |  24.748512 | 0.000001
  31 | 0.138415 | 0.025864 |  24.748512 |     25 | 0.000001 | 2.400000 | 0.760000 | 0.860000 | 0.775000 |   3.286409 |      152 |    649 |     472 |  24.975512 | 0.454888
  32 | 0.137231 | 0.025817 |  24.975512 |     25 | 0.454888 | 2.400000 | 2.650000 | 3.020000 | 2.525000 |   9.586880 |      530 |   1016 |     465 |  24.941204 | 0.999999
  33 | 0.136071 | 0.025770 |  24.941204 |     25 | 0.999999 | 2.400000 | 0.005000 | 0.000000 | 0.565000 | -21.925028 |        1 |      1 |       0 |  25.267095 | 0.000001
  34 | 0.134935 | 0.025723 |  25.267095 |     26 | 0.000001 | 2.400000 | 0.690000 | 0.805000 | 0.715000 |   3.498762 |      138 |    656 |     492 |  25.497835 | 0.472108
  35 | 0.133822 | 0.025678 |  25.497835 |     26 | 0.472108 | 2.400000 | 3.135000 | 3.195000 | 2.830000 |   7.107317 |      627 |   1136 |     485 |  25.399475 | 0.999999
  36 | 0.132731 | 0.025633 |  25.399475 |     26 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.555000 | -21.651986 |        0 |      1 |       1 |  25.718030 | 0.000001
  37 | 0.131661 | 0.025588 |  25.718030 |     26 | 0.000001 | 2.400000 | 0.760000 | 0.870000 | 0.715000 |   6.057446 |      152 |    669 |     491 |  25.933954 | 0.797532
  38 | 0.130612 | 0.025545 |  25.933954 |     26 | 0.797532 | 2.400000 | 3.895000 | 3.555000 | 4.250000 | -13.603705 |      779 |   1026 |     239 |  25.738689 | 0.000001
  39 | 0.129583 | 0.025501 |  25.738689 |     26 | 0.000001 | 2.400000 | 0.660000 | 0.800000 | 0.825000 |  -0.980344 |      132 |    649 |     491 |  25.964164 | 0.000001
  40 | 0.128574 | 0.025459 |  25.964164 |     26 | 0.000001 | 2.400000 | 0.730000 | 0.725000 | 0.705000 |   0.785591 |      146 |    665 |     493 |  26.178881 | 0.101007
  41 | 0.127583 | 0.025416 |  26.178881 |     27 | 0.101007 | 2.400000 | 1.285000 | 1.150000 | 1.040000 |   2.163958 |      257 |    790 |     506 |  26.321136 | 0.377091
  42 | 0.126611 | 0.025375 |  26.321136 |     27 | 0.377091 | 2.400000 | 2.280000 | 2.690000 | 2.215000 |   9.359697 |      456 |    985 |     502 |  26.336330 | 0.999999
  43 | 0.125656 | 0.025334 |  26.336330 |     27 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.560000 | -22.104997 |        0 |      1 |       1 |  26.637904 | 0.000001
  44 | 0.124719 | 0.025293 |  26.637904 |     27 | 0.000001 | 2.400000 | 0.785000 | 0.840000 | 0.825000 |   0.593049 |      157 |    694 |     510 |  26.839325 | 0.073965
  45 | 0.123798 | 0.025253 |  26.839325 |     27 | 0.073965 | 2.400000 | 0.995000 | 1.090000 | 0.765000 |   6.434901 |      199 |    736 |     510 |  27.013261 | 0.870595
  46 | 0.122894 | 0.025213 |  27.013261 |     28 | 0.870595 | 2.400000 | 2.630000 | 2.095000 | 3.205000 | -22.012211 |      526 |    656 |     125 |  26.984996 | 0.000001
  47 | 0.122006 | 0.025174 |  26.984996 |     27 | 0.000001 | 2.400000 | 0.770000 | 0.850000 | 0.710000 |   5.561268 |      154 |    684 |     503 |  27.183865 | 0.678509
  48 | 0.121133 | 0.025135 |  27.183865 |     28 | 0.678509 | 2.400000 | 5.185000 | 5.290000 | 4.925000 |   7.260671 |     1037 |   1514 |     449 |  26.846510 | 0.999999
  49 | 0.120275 | 0.025097 |  26.846510 |     27 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.545000 | -21.715597 |        0 |      1 |       1 |  27.135170 | 0.000001
  50 | 0.119432 | 0.025059 |  27.135170 |     28 | 0.000001 | 2.400000 | 0.755000 | 0.945000 | 0.860000 |   3.391946 |      151 |    707 |     528 |  27.331636 | 0.405108
  51 | 0.118603 | 0.025022 |  27.331636 |     28 | 0.405108 | 2.400000 | 2.970000 | 2.770000 | 2.585000 |   3.696749 |      594 |   1143 |     521 |  27.264032 | 0.843555
  52 | 0.117788 | 0.024985 |  27.264032 |     28 | 0.843555 | 2.400000 | 3.215000 | 2.710000 | 3.530000 | -16.409822 |      643 |    793 |     145 |  27.168035 | 0.000001
  53 | 0.116986 | 0.024948 |  27.168035 |     28 | 0.000001 | 2.400000 | 0.915000 | 0.760000 | 0.795000 |  -1.402890 |      183 |    739 |     528 |  27.341760 | 0.000001
  54 | 0.116198 | 0.024912 |  27.341760 |     28 | 0.000001 | 2.400000 | 0.785000 | 0.935000 | 0.800000 |   5.418995 |      157 |    713 |     528 |  27.529419 | 0.629676
