QTCP Werner window-size and Werner-parameter update.
Update rule: W_next = W + gamma * (target_tp - observed_tp).
Update rule: w_next = w + gamma * ((tp_plus - tp_minus) / (w_plus - w_minus)).
The plus/minus Werner runs use the old W_run from the same iteration.
Werner parameter is clamped to [1.0e-6, 0.999999] so request_rate stays positive.

Initial update parameters:
  target_tp = 2.4
  iterations = 10000
  initial_window_size = 20
  initial_werner_w = 0.75
  min_window_size = 1.0
  werner_bounds = [1.0e-6, 0.999999]
  rng_seed = 42
  gamma(n) = 1 / n
  delta(n) = 0.05 / (n + 50)^0.15

Default simulation parameters:
  werner_w = 0.75
  chi = 30.0
  request_rate = nothing
  distance_km = 25.0
  a_eta = 1.0
  beta_per_km = 0.046
  detector_a_p = 0.9
  detection_prob = nothing
  source_window_size = 20
  source_ack_timeout = 10.0
  sim_time = 200.0
  success_prob = 1.0
  attempt_time = 0.0
  memory_slots = nothing
  initial_request_delay = 0.0

iter |    gamma |    delta |      W_est |  W_run |        w |   target |       tp |  tp_plus | tp_minus |     w_grad |    acked |   sent | timeout |     W_next |   w_next
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | 1.000000 | 0.027723 |  20.000000 |     20 | 0.750000 | 2.400000 | 4.185000 | 4.255000 | 4.375000 |  -2.164297 |      837 |   1145 |     291 |  18.215000 | 0.000001
   2 | 0.500000 | 0.027642 |  18.215000 |     19 | 0.000001 | 2.400000 | 0.475000 | 0.765000 | 0.565000 |   7.235366 |       95 |    471 |     357 |  19.177500 | 0.999999
   3 | 0.333333 | 0.027563 |  19.177500 |     20 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.620000 | -22.493812 |        0 |      1 |       1 |  19.977500 | 0.000001
   4 | 0.250000 | 0.027486 |  19.977500 |     20 | 0.000001 | 2.400000 | 0.510000 | 0.760000 | 0.630000 |   4.729687 |      102 |    500 |     378 |  20.450000 | 0.999999
   5 | 0.200000 | 0.027410 |  20.450000 |     21 | 0.999999 | 2.400000 | 0.000000 | 0.000000 | 0.620000 | -22.619140 |        0 |      1 |       1 |  20.930000 | 0.000001
   6 | 0.166667 | 0.027336 |  20.930000 |     21 | 0.000001 | 2.400000 | 0.655000 | 0.645000 | 0.535000 |   4.023934 |      131 |    546 |     394 |  21.220833 | 0.670657
   7 | 0.142857 | 0.027264 |  21.220833 |     22 | 0.670657 | 2.400000 | 3.780000 | 4.405000 | 4.370000 |   0.641873 |      756 |   1153 |     375 |  21.023690 | 0.762353
   8 | 0.125000 | 0.027193 |  21.023690 |     22 | 0.762353 | 2.400000 | 4.280000 | 4.155000 | 4.560000 |  -7.446792 |      856 |   1171 |     298 |  20.788690 | 0.000001
   9 | 0.111111 | 0.027123 |  20.788690 |     21 | 0.000001 | 2.400000 | 0.560000 | 0.575000 | 0.630000 |  -2.027778 |      112 |    530 |     397 |  20.993135 | 0.000001
